,Station ID,AQI index,CO,Dew,Humidity,NO2,O3,Pressure,PM10,PM2.5,SO2,Temperature,Wind,Data Time S,Alert level,Month
count,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909,1909.0,1909.0
mean,10967.349397590362,80.77275243666223,6.865592383096221,20.641903648466464,75.78568654256475,12.763148512568609,9.09439370542913,1002.7497757732946,55.400481887598716,76.67365489232571,5.443310845542518,25.981539817807814,2.7751229733355482,2021-05-31 00:52:05.845992704,2.181246726034573,5.412781561026716
min,1584.0,1.0,0.1,5.5,13.0,1.0,0.9,916.9,0.5,1.0,0.1,9.0,0.2,2021-01-21 05:00:00,1.0,1.0
25%,8767.0,44.0,2.0,18.0,60.0,6.0,6.90390243902439,1002.0,35.0,40.0,4.6,22.5,1.8,2021-02-24 13:00:00,1.0,2.0
50%,12976.0,82.0,5.0,22.0,79.0,13.0,6.90390243902439,1009.0,64.0,74.0,5.628780487804878,26.0,2.5,2021-05-19 15:00:00,2.0,5.0
75%,13018.0,110.80975609756098,8.866341463414633,25.0,91.0,14.952682926829269,8.386918604651163,1013.5,66.0390243902439,107.60487804878049,5.628780487804878,29.5,3.6,2021-08-19 11:00:00,3.0,8.0
max,13252.0,340.0,98.0,29.0,100.0,80.0,63.0,1024.5,340.0,315.0,18.0,38.5,11.3,2021-11-29 15:00:00,6.0,11.0
std,3477.4231573808165,45.26155019760091,7.4642085520436465,5.649879600071517,17.706319818608716,9.380045012262826,8.11761522804262,21.565239838077197,29.98169730741787,44.6365824271152,2.8743506942773216,4.653170476716683,1.470278988067827,,0.9558625882556834,3.167802521373253
