,Station ID,AQI index,Location,Station name,Url,Dominent pollutant,CO,Dew,Humidity,NO2,O3,Pressure,PM10,PM2.5,SO2,Temperature,Wind,Data Time S,Data Time Tz,Status,Alert level,Month
381,13018,88.0,"20.98832,105.854897","Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p-.hoang-van-thu-hoang-mai,pm25,3.0,17.0,82.0,9.0,6.90390243902439,1015.5,59.0,88.0,5.628780487804878,20.0,3.3,2021-02-16 12:00:00,+07:00,Moderate,2,2
382,13019,74.0,"21.01994,105.77056","Hà Nội/UBND P. Mỹ Đình I, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i,pm25,5.0,17.0,82.0,17.0,6.90390243902439,1015.5,50.0,74.0,5.628780487804878,20.0,3.3,2021-02-16 12:00:00,+07:00,Moderate,2,2
383,13026,97.0,"21.01525,105.80013","Hà Nội/Chi cục BVMT, Vietnam",https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt,pm25,3.0,17.0,77.0,33.0,2.0,1015.0,56.0,97.0,1.0,21.0,2.8,2021-02-16 12:00:00,+07:00,Moderate,2,2
384,1584,110.80975609756098,"16.074,108.217","Da Nang, Vietnam (TP Đà Nẵng)",https://aqicn.org/city/vietnam/da-nang,pm25,2.0,17.5,59.0,1.0,33.0,1013.0,66.0390243902439,107.60487804878049,6.0,26.0,3.8,2021-02-16 13:00:00,+07:00,Unhealthy for Sensitive Group,3,2
385,1585,110.80975609756098,"12.284358,109.192524","Nha Trang, Vietnam",https://aqicn.org/city/vietnam/nha-trang,pm25,1.0,18.0,57.0,1.0,34.0,1012.0,66.0390243902439,107.60487804878049,4.0,27.0,5.6,2021-02-16 14:00:00,+07:00,Unhealthy for Sensitive Group,3,2
386,13017,109.0,"21.02022,105.81232","Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong,pm25,12.0,17.0,77.0,21.0,6.90390243902439,1015.0,75.0,109.0,5.628780487804878,21.0,2.8,2021-02-16 12:00:00,+07:00,Unhealthy for Sensitive Group,3,2
387,13020,98.0,"21.00577,105.74842","Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem,pm25,5.0,17.0,82.0,6.0,6.90390243902439,1015.5,63.0,98.0,5.628780487804878,20.0,3.3,2021-02-16 12:00:00,+07:00,Moderate,2,2
388,13013,111.0,"21.05121,105.78232","Hà Nội/36A Phạm Văn Đồng, Vietnam",https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong,pm25,2.0,17.0,82.0,25.0,6.90390243902439,1015.5,69.0,111.0,5.628780487804878,20.0,3.3,2021-02-16 12:00:00,+07:00,Unhealthy for Sensitive Group,3,2
389,13014,91.0,"21.0072,105.83572","Hà Nội/Mầm non Kim Liên, Vietnam",https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien,pm25,5.0,17.0,77.0,14.952682926829269,6.90390243902439,1015.0,53.0,91.0,5.628780487804878,21.0,2.8,2021-02-16 12:00:00,+07:00,Moderate,2,2
390,13252,70.0,"22.6782,106.245","Cao Bằng/Trạm khí TTQT, Vietnam",http://cem.gov.vn/,pm25,8.866341463414633,17.1,66.9,14.952682926829269,4.0,986.7,58.0,70.0,5.628780487804878,23.6,1.0,2021-02-16 14:00:00,+07:00,Moderate,2,2
